no_plan;nombre_piece;surface_reelle;type_local;surface_carre
272;2;56;Appartement;56.65
1577;2;32;Appartement;32.27
72;4;68;Appartement;61.54
260;4;80;Maison;82.37
330;3;53;Appartement;53.81
2830;3;71;Appartement;71.8
352;3;63;Appartement;63.54
126;6;102;Maison;101.52
254;2;42;Appartement;51.7
45;4;115;Appartement;114.17
624;2;21;Appartement;21.48
419;1;36;Appartement;36.21
83;2;48;Appartement;44.24
358;2;54;Appartement;54.7
413;2;54;Appartement;51
997;2;41;Appartement;42.92
84;3;67;Appartement;68.08
213;3;69;Appartement;70.15
102;2;56;Appartement;57.23
253;5;131;Appartement;132.16
912;2;63;Appartement;58.62
109;3;60;Appartement;61.89
7;3;105;Appartement;92.45
163;3;71;Appartement;71.29
26;5;101;Maison;138.05
80;1;30;Appartement;45.12
1057;3;75;Appartement;70.45
183;4;77;Appartement;78.54
8;2;58;Appartement;52.58
1481;2;22;Appartement;30.98
518;5;106;Appartement;95.66
76;4;87;Appartement;87.23
370;5;92;Appartement;92.47
219;5;89;Appartement;89.2
126;1;40;Appartement;28.8
9;2;46;Appartement;46.68
517;0;2;Appartement;2.36
740;3;68;Appartement;68.92
63;3;68;Appartement;68.45
290;4;103;Maison;102.52
33;2;59;Appartement;59.67
63;4;77;Appartement;77.86
2284;4;106;Maison;105.12
352;3;63;Appartement;63.27
229;4;133;Appartement;133.24
226;3;63;Appartement;67.33
4;3;65;Appartement;68.69
137;2;59;Appartement;58.3
158;5;112;Appartement;111.06
380;5;117;Appartement;117.63
63;4;82;Appartement;85.12
102;2;42;Appartement;42.01
50;5;96;Maison;96.46
278;3;58;Appartement;57.5
442;4;90;Appartement;90.4
267;2;42;Appartement;42.59
43;1;35;Appartement;50.11
654;2;33;Appartement;32.6
633;4;88;Maison;103.62
153;2;60;Appartement;135.89
297;5;166;Appartement;166.98
480;2;65;Appartement;58.13
47;2;39;Appartement;38.67
1432;5;110;Maison;120.5
719;3;90;Appartement;86.8
85;1;47;Appartement;41.82
139;2;56;Appartement;56.63
140;3;77;Appartement;79.06
2655;3;65;Appartement;65.82
644;3;44;Appartement;38.43
152;4;85;Appartement;85.95
632;2;48;Appartement;48.42
321;4;82;Maison;80.87
122;6;156;Appartement;165.11
804;4;72;Appartement;71.5
316;3;82;Appartement;82.54
72;2;41;Appartement;39.97
375;4;158;Appartement;146.68
169;2;40;Appartement;31.6
8;4;80;Maison;92
135;3;65;Appartement;73.5
199;1;30;Appartement;23.82
169;2;40;Appartement;37.3
169;2;53;Appartement;49.1
38;1;31;Appartement;30.94
137;3;67;Maison;65.66
137;1;27;Appartement;27.19
264;2;53;Appartement;46.92
258;4;82;Maison;78.3
804;5;90;Appartement;88.5
159;1;27;Appartement;24.05
78;4;92;Maison;92.54
215;3;62;Appartement;60.05
804;5;90;Appartement;89
256;1;27;Appartement;23.86
114;3;64;Appartement;25
465;5;155;Appartement;148.41
258;2;48;Appartement;47.44
258;4;90;Maison;80.14
258;3;53;Appartement;53.42
1281;3;67;Appartement;66.36
243;1;29;Appartement;28.13
318;4;119;Maison;88.14
47;3;76;Appartement;77.91
256;1;27;Appartement;26.4
1;4;122;Appartement;119.4
372;1;32;Appartement;33.49
99;4;127;Appartement;96.4
302;2;52;Appartement;53.22
186;5;143;Appartement;142.98
413;2;43;Appartement;50.16
181;4;127;Appartement;108.49
46;1;29;Appartement;29.16
178;4;81;Maison;79.27
88;4;67;Appartement;64.21
296;5;122;Appartement;121.9
417;4;145;Maison;145.28
50;3;49;Appartement;49.99
617;2;58;Appartement;58.67
1224;3;50;Maison;55.74
616;5;77;Appartement;77.56
21;2;48;Appartement;49.33
115;3;36;Appartement;47.02
44;2;75;Appartement;37.18
45;6;109;Maison;106
246;3;64;Maison;39.62
12;4;81;Appartement;81.62
72;1;44;Appartement;41.42
212;3;83;Appartement;62.15
210;4;59;Appartement;59.81
111;1;26;Appartement;20.45
430;3;86;Appartement;89.56
34;6;110;Maison;570
73;1;21;Appartement;21.4
40;2;57;Appartement;49.46
40;2;44;Appartement;45.12
69;3;72;Appartement;68.95
95;3;76;Appartement;76.95
105;2;72;Appartement;72.93
105;3;64;Appartement;65.9
174;2;32;Appartement;31.84
73;1;23;Appartement;20.69
248;1;33;Appartement;29.36
248;3;54;Appartement;67.85
242;3;42;Appartement;51.07
50;1;30;Appartement;29.21
249;1;25;Appartement;23.7
72;3;75;Appartement;73.94
34;6;110;Maison;93.89
40;3;67;Appartement;68.37
40;3;73;Appartement;73.65
16;1;32;Appartement;31.62
312;3;60;Appartement;60.2
93;3;54;Appartement;48.5
293;3;58;Appartement;57.74
260;4;75;Appartement;78.24
114;3;64;Appartement;64.24
477;2;33;Appartement;34.46
54;3;77;Appartement;124.01
477;1;38;Appartement;34.9
477;1;22;Appartement;22.19
34;4;84;Appartement;83.87
430;5;112;Maison;107.77
122;4;60;Appartement;61.4
252;5;85;Maison;128.8
183;3;59;Appartement;58.46
785;2;40;Appartement;40.06
123;4;79;Appartement;78.3
243;5;105;Appartement;106
153;3;80;Appartement;74.54
378;3;79;Appartement;81.72
221;4;67;Appartement;67.64
238;2;47;Appartement;42.98
35;2;45;Appartement;40.57
456;4;119;Appartement;105.71
353;4;133;Appartement;106.43
730;1;31;Appartement;29.74
1110;3;66;Appartement;65.4
221;4;120;Appartement;144.6
54;1;24;Appartement;24.74
442;1;33;Appartement;32.89
14;1;20;Appartement;20.92
54;4;120;Appartement;93.76
264;1;20;Appartement;20.73
309;2;27;Appartement;26.6
213;3;50;Appartement;40
870;1;26;Appartement;27.46
257;2;51;Appartement;51.42
429;3;71;Maison;71.39
13;2;49;Appartement;41.16
169;2;32;Appartement;65.5
168;2;35;Appartement;34.95
475;3;52;Appartement;60.66
774;1;25;Appartement;24.32
226;1;23;Appartement;23.02
15;2;63;Appartement;59.73
1805;2;33;Appartement;33.05
394;1;23;Appartement;23.25
610;2;30;Appartement;30.47
128;1;29;Appartement;28.33
556;1;44;Appartement;35.97
777;2;32;Maison;20.85
149;1;21;Appartement;20.55
531;5;147;Appartement;142.9
233;1;18;Appartement;18.44
216;1;30;Appartement;26.76
946;2;51;Appartement;53.1
722;2;23;Appartement;35.2
233;1;18;Appartement;18.84
78;3;80;Appartement;80.26
305;4;74;Appartement;76.81
772;3;80;Appartement;79.54
390;2;85;Appartement;72.07
1;2;29;Appartement;29.66
2100;2;37;Appartement;29.03
8;5;79;Maison;82.37
113;2;41;Appartement;33.8
871;1;19;Appartement;19.72
3092;4;98;Appartement;15
631;3;60;Appartement;58.96
1483;2;42;Appartement;42.73
1888;1;27;Appartement;25.32
13;1;20;Appartement;14.41
52;2;60;Appartement;38.97
243;3;35;Appartement;44.44
921;1;29;Maison;27.26
557;5;84;Appartement;83.88
85;2;29;Appartement;25.55
1114;1;38;Appartement;40.4
1067;2;44;Appartement;136.86
215;4;87;Appartement;90.75
149;2;66;Maison;59.36
2099;1;27;Appartement;26.99
973;3;68;Appartement;67.22
419;2;30;Appartement;39.16
1888;1;27;Appartement;25.07
96;3;68;Appartement;63.73
574;4;100;Appartement;102.87
279;4;81;Appartement;82.11
1782;1;24;Appartement;23.35
636;1;31;Appartement;30.05
669;2;51;Appartement;49.2
1000;1;24;Appartement;24.25
82;2;36;Appartement;37.55
875;2;81;Appartement;108.85
125;3;59;Appartement;73.99
88;1;28;Appartement;28.02
1387;1;27;Appartement;22.91
938;1;27;Appartement;27.36
938;1;27;Appartement;27.22
999;4;95;Maison;92.94
225;1;30;Appartement;30.95
60;2;60;Appartement;62.43
973;1;36;Appartement;35.71
675;2;61;Appartement;61.53
997;1;26;Appartement;27.18
146;1;18;Appartement;18
121;1;25;Appartement;24.87
102;3;70;Appartement;62.85
156;3;54;Appartement;56.52
335;4;70;Appartement;52.45
60;4;64;Appartement;67
222;1;28;Appartement;28.48
60;3;54;Appartement;54.33
351;2;46;Appartement;35.65
72;1;23;Appartement;21.35
87;1;33;Appartement;32.84
1455;1;19;Appartement;19.28
773;2;61;Appartement;55.5
31;4;75;Appartement;73.48
1062;3;74;Appartement;75.06
60;4;82;Appartement;83.46
300;4;93;Maison;89.06
1344;2;24;Appartement;25.08
2103;1;26;Appartement;26.41
202;4;54;Appartement;54.79
14;2;45;Appartement;42.72
993;2;50;Appartement;45.2
300;2;45;Appartement;44.24
904;1;15;Appartement;41.7
106;2;50;Appartement;46.21
304;3;63;Appartement;64.99
65;4;87;Maison;97.07
938;1;27;Appartement;27.5
608;3;56;Appartement;54.64
265;2;52;Appartement;44.2
129;1;17;Appartement;16.61
2163;2;47;Appartement;46.42
269;2;26;Appartement;25.44
213;1;18;Appartement;17.31
51;1;39;Appartement;22.9
815;2;30;Appartement;46.93
433;2;40;Appartement;38.9
309;5;110;Appartement;152.65
1398;1;40;Appartement;36.42
149;1;38;Appartement;25.95
117;2;53;Appartement;53.81
116;1;31;Appartement;30
277;2;25;Appartement;24.89
277;3;38;Appartement;45.22
277;1;23;Appartement;22.92
2100;1;15;Appartement;11.43
99;1;18;Appartement;16.81
180;4;66;Appartement;68.19
64;3;63;Appartement;59.5
213;2;20;Appartement;28.4
290;1;20;Appartement;18.26
704;3;63;Maison;28.9
19;1;25;Appartement;25.9
928;1;28;Appartement;30
98;1;29;Appartement;29.85
777;2;32;Maison;21.71
127;4;66;Appartement;69.7
290;3;62;Appartement;60.28
348;3;75;Appartement;75.3
56;1;26;Appartement;26.09
55;2;46;Appartement;64.96
2100;1;17;Appartement;17.6
1400;4;121;Maison;119.9
530;2;38;Appartement;36.24
574;1;25;Appartement;25.35
1537;4;100;Appartement;99.22
1559;1;28;Appartement;28
102;1;25;Appartement;27.45
122;8;248;Maison;245.13
224;2;40;Appartement;56.04
195;2;54;Appartement;50.05
777;1;20;Maison;20.5
207;4;110;Maison;25.4
274;5;114;Appartement;130.2
971;1;17;Appartement;17.14
22;3;58;Appartement;56.19
99;2;49;Maison;50.04
22;1;39;Appartement;37.71
29;5;116;Appartement;119.4
47;4;68;Appartement;67.58
8;2;46;Appartement;46.78
73;1;22;Appartement;19.15
1481;1;22;Appartement;23.69
176;1;17;Appartement;17.34
628;4;65;Appartement;56.2
2705;4;63;Appartement;59.6
111;2;43;Appartement;44.71
338;3;70;Appartement;62.38
141;3;52;Appartement;49.61
168;1;35;Appartement;55.76
1123;4;47;Maison;80.48
3302;1;26;Appartement;26.52
8;1;29;Appartement;29.33
336;2;38;Appartement;45.08
23;6;82;Appartement;72.72
794;2;35;Appartement;35.18
266;2;29;Appartement;25.61
91;2;32;Appartement;32
25;3;65;Appartement;69.45
63;4;78;Appartement;78.84
94;2;40;Appartement;37.09
318;3;85;Appartement;65.39
309;2;61;Appartement;47.48
511;1;25;Appartement;26.1
133;1;40;Appartement;40.92
1031;1;24;Appartement;26
76;4;66;Appartement;67
36;3;63;Appartement;56.5
2716;2;39;Appartement;38.5
149;2;40;Appartement;42.7
62;1;17;Appartement;16.7
368;1;26;Appartement;0.4
349;3;69;Maison;59.66
2361;1;21;Appartement;21.2
98;2;45;Appartement;43.36
1517;3;56;Appartement;56.81
736;3;43;Appartement;43.33
72;2;32;Appartement;32.8
2141;1;14;Appartement;15.42
413;1;24;Appartement;24.64
20;2;30;Appartement;28.5
95;2;66;Appartement;66.45
31;3;61;Appartement;59.9
36;3;63;Appartement;54.99
3085;1;16;Appartement;18.04
252;1;28;Appartement;28.56
12;1;25;Appartement;23.66
242;5;122;Appartement;121.56
44;2;30;Appartement;30.72
175;2;33;Appartement;32.97
151;1;30;Appartement;28.61
86;2;29;Appartement;30.74
214;1;31;Appartement;30.59
205;2;37;Appartement;33.5
44;2;30;Appartement;30.52
180;2;50;Appartement;51.85
68;2;69;Appartement;63.2
2362;3;24;Appartement;23.08
94;3;70;Maison;86.49
319;2;36;Appartement;36.44
22;2;30;Appartement;28.96
12;1;25;Appartement;26.42
356;2;49;Appartement;49.06
359;5;100;Maison;100.11
1814;4;82;Maison;89.03
1262;2;44;Appartement;43.44
57;4;126;Appartement;119.95
1138;4;62;Appartement;25.1
472;3;57;Appartement;49.55
12;1;25;Appartement;26.62
202;2;28;Appartement;28.79
89;1;18;Appartement;18.63
114;4;53;Appartement;14
12;1;17;Appartement;16.99
876;3;66;Appartement;68.23
725;2;22;Appartement;21.48
1150;1;17;Appartement;16.9
92;4;100;Appartement;101.99
265;3;61;Appartement;54.25
75;1;27;Appartement;26.78
56;1;27;Appartement;27.06
794;2;35;Appartement;34.97
281;1;19;Appartement;18.45
290;3;39;Appartement;39.3
729;2;35;Appartement;35.51
85;2;45;Appartement;52.24
245;1;16;Appartement;14.33
99;2;51;Appartement;49.21
222;3;40;Appartement;39.2
106;1;31;Appartement;30.34
439;1;28;Appartement;28.32
312;4;98;Appartement;99.04
299;3;95;Appartement;30.2
169;3;82;Appartement;80.25
507;4;72;Appartement;72.25
299;1;19;Appartement;19.23
164;2;58;Appartement;56.45
82;1;18;Appartement;18.02
138;2;33;Appartement;32.83
467;2;46;Appartement;48.23
350;1;33;Appartement;34.04
40;2;36;Appartement;36.26
95;3;36;Appartement;69
26;2;41;Appartement;45.5
740;1;15;Appartement;13.69
2;3;68;Appartement;68.75
17;2;33;Appartement;34.31
11;3;70;Appartement;68.35
346;4;111;Appartement;114.78
82;1;22;Appartement;30.76
257;4;80;Appartement;78.45
20;2;62;Appartement;64.25
257;5;113;Appartement;118.14
363;4;144;Appartement;133.44
73;4;130;Appartement;96
180;1;28;Appartement;28.32
224;3;95;Appartement;93.6
14;2;76;Appartement;79.48
58;1;20;Appartement;19.88
315;1;42;Appartement;43.48
23;3;91;Appartement;90.1
334;1;20;Appartement;19.11
282;2;33;Appartement;24.92
118;1;16;Appartement;16.54
11;5;158;Appartement;172.21
39;1;34;Appartement;36.11
147;3;46;Appartement;46.34
265;1;17;Appartement;17.05
42;4;127;Appartement;131.09
299;3;55;Appartement;53.84
274;2;40;Appartement;31.2
49;3;83;Maison;106.78
292;3;87;Appartement;86.82
228;1;22;Appartement;23.13
218;3;75;Appartement;78.01
207;2;34;Appartement;38.29
240;4;45;Appartement;45.51
251;2;36;Appartement;33.27
180;4;86;Appartement;81.04
474;1;36;Appartement;26.51
257;5;71;Appartement;73.71
123;1;23;Appartement;22.24
321;2;44;Appartement;44.01
312;2;25;Appartement;25.75
268;4;66;Appartement;66.41
47;3;75;Appartement;68.39
273;5;130;Appartement;154
49;3;81;Appartement;81.26
421;2;55;Appartement;54.03
33;2;36;Appartement;34.81
246;2;52;Appartement;48.02
34;2;30;Appartement;27.57
59;3;42;Appartement;44.15
47;3;95;Appartement;82.1
422;2;35;Appartement;34.65
272;2;34;Appartement;37.1
224;2;52;Appartement;53.08
53;1;14;Appartement;13.55
188;4;59;Appartement;60.77
73;1;30;Appartement;22.2
158;3;78;Appartement;95.59
168;2;25;Appartement;26.41
184;2;56;Appartement;60.32
160;2;46;Appartement;42.14
8;3;86;Appartement;88.1
140;3;61;Appartement;69.7
163;4;100;Appartement;104.48
235;1;25;Appartement;44.49
322;1;26;Appartement;26.55
421;4;76;Appartement;76.2
172;1;26;Appartement;26.67
236;2;46;Appartement;38.1
328;5;253;Appartement;265.26
716;3;35;Appartement;80.6
312;1;21;Appartement;22.08
172;2;43;Appartement;44.36
92;4;57;Appartement;56.1
331;3;55;Appartement;55.11
28;2;52;Appartement;49.73
299;5;126;Appartement;20.77
27;3;63;Maison;64.63
347;3;68;Appartement;72.8
263;2;41;Appartement;42.24
157;2;46;Appartement;44.77
294;3;90;Appartement;91
161;1;43;Appartement;42.9
702;2;51;Appartement;51.15
466;3;85;Appartement;78.87
252;1;19;Appartement;15.24
78;7;209;Appartement;220.02
21;1;25;Appartement;271.58
183;1;25;Appartement;22.75
93;2;36;Appartement;35.87
585;4;100;Appartement;131.19
100;4;118;Appartement;110.6
93;2;53;Appartement;50.32
34;2;33;Appartement;33.33
183;4;72;Maison;63.6
350;1;19;Appartement;19.39
500;1;10;Appartement;9.82
184;2;50;Appartement;51.5
35;3;90;Appartement;185.05
58;2;49;Appartement;60.13
321;2;45;Appartement;45
97;2;63;Appartement;55.86
118;4;86;Appartement;90.53
50;4;82;Appartement;80.27
7;2;36;Appartement;34.93
306;2;45;Appartement;44.12
236;1;15;Appartement;6.67
236;1;15;Appartement;15.9
151;1;26;Appartement;26.2
150;1;34;Appartement;34.39
79;4;120;Appartement;115.22
143;1;40;Appartement;37.98
494;4;84;Appartement;80.71
291;5;113;Appartement;109.5
158;2;39;Appartement;77.62
278;2;30;Appartement;41.24
224;4;82;Appartement;62.5
245;3;60;Appartement;50.04
198;4;88;Appartement;89.66
422;2;31;Appartement;32.6
440;3;66;Appartement;66.35
41;5;100;Appartement;91.17
513;3;56;Appartement;56.89
174;3;86;Appartement;89.5
96;3;44;Appartement;44.11
213;3;60;Appartement;33.04
161;1;25;Appartement;26.05
246;1;21;Appartement;18.69
206;1;33;Appartement;34.33
141;2;36;Appartement;36.55
194;2;38;Appartement;38.58
344;2;41;Appartement;40.75
354;3;57;Appartement;53.19
224;3;65;Appartement;61.35
233;3;66;Appartement;74.62
173;2;60;Appartement;56.19
217;3;85;Appartement;98.18
234;3;35;Appartement;38.82
106;1;14;Appartement;14.35
89;2;39;Appartement;41.36
144;5;153;Appartement;150.36
86;1;17;Appartement;18.18
424;1;20;Appartement;18.81
71;1;32;Appartement;32.24
284;1;30;Appartement;164.4
251;4;91;Appartement;89.27
126;4;85;Appartement;86.05
113;3;64;Appartement;64.2
347;3;68;Appartement;69.59
39;4;57;Appartement;52.32
33;2;73;Appartement;75.25
19;3;44;Appartement;57.1
256;2;33;Appartement;35.02
39;5;127;Appartement;114.02
147;3;55;Appartement;58.27
81;3;141;Appartement;142.86
247;2;34;Appartement;34.02
194;2;53;Appartement;59.25
190;2;32;Appartement;26.75
115;2;46;Appartement;56.05
18;2;69;Appartement;51.15
172;1;34;Appartement;27.03
190;2;32;Appartement;22.24
35;4;150;Appartement;140.7
57;1;40;Appartement;35.5
162;3;61;Appartement;68.6
22;3;85;Appartement;73.07
151;2;55;Appartement;53.37
84;4;68;Appartement;83.52
144;4;87;Maison;109
83;5;120;Appartement;125.28
410;2;57;Appartement;53.72
174;2;47;Appartement;41.51
93;3;59;Appartement;60.34
139;1;26;Appartement;25.49
63;3;70;Appartement;74.41
44;1;17;Appartement;17.55
272;3;35;Appartement;36.22
10;1;30;Appartement;28.89
247;3;60;Appartement;56.32
51;2;34;Appartement;33.53
437;7;200;Appartement;27
80;3;74;Appartement;73.43
89;1;16;Appartement;16.8
224;1;33;Appartement;39.79
26;3;70;Appartement;69
218;3;41;Appartement;41.01
85;3;60;Appartement;54.49
226;2;42;Appartement;41.27
204;1;23;Appartement;23.04
255;1;29;Appartement;27.08
34;2;30;Appartement;43.08
102;3;55;Appartement;55.32
45;2;39;Appartement;38.78
100;2;40;Appartement;47.35
34;2;33;Appartement;26.08
422;2;70;Appartement;65.28
122;6;277;Maison;288.59
243;1;20;Appartement;21.83
494;2;51;Appartement;50.01
126;1;36;Appartement;35.53
175;4;123;Appartement;117.5
213;5;124;Appartement;36.4
205;1;20;Appartement;26
76;2;32;Appartement;42.26
8;2;84;Appartement;85.71
155;1;40;Appartement;38.03
354;5;91;Appartement;91.41
332;3;83;Appartement;84.01
206;1;24;Appartement;23.74
158;1;18;Appartement;18.74
95;1;16;Appartement;32.47
109;3;67;Appartement;67.18
102;5;102;Maison;99.84
86;1;25;Appartement;16.13
63;2;45;Appartement;31.43
280;1;42;Appartement;52.8
575;3;62;Appartement;47.5
100;5;96;Maison;96.39
118;4;107;Appartement;107.24
304;2;54;Appartement;55.44
238;4;90;Appartement;91.23
17;2;40;Appartement;41.01
121;4;109;Appartement;99.18
274;3;67;Appartement;67.08
9;2;47;Appartement;46.81
120;1;30;Appartement;29.41
86;1;20;Appartement;20.6
4;4;92;Appartement;72.3
27;1;29;Appartement;29.02
481;3;71;Appartement;64.61
76;3;62;Appartement;61.8
255;6;123;Appartement;136.68
4;3;80;Appartement;75.47
259;1;35;Appartement;36.54
175;2;24;Appartement;29.72
227;2;45;Appartement;44.39
167;1;28;Appartement;27
50;5;102;Maison;100.56
173;2;26;Appartement;30.05
419;1;18;Appartement;17.04
43;1;22;Appartement;20.85
439;2;34;Appartement;34.51
86;3;69;Appartement;68.36
409;3;68;Appartement;68.43
123;1;31;Appartement;31.61
500;1;20;Appartement;20
586;1;27;Appartement;28.71
156;2;47;Appartement;48.52
137;1;22;Appartement;21.55
267;1;13;Appartement;17.25
198;2;69;Appartement;44.36
16;4;99;Appartement;98.81
12;1;16;Appartement;15.85
96;1;23;Appartement;24.3
68;2;46;Appartement;46.69
274;3;67;Appartement;66.48
282;1;17;Appartement;15.85
265;3;65;Appartement;71.85
55;5;135;Appartement;137.53
354;2;56;Appartement;55.77
305;3;65;Appartement;67.6
610;2;44;Appartement;42.7
365;1;20;Appartement;20.18
218;3;65;Appartement;66.3
634;1;21;Appartement;21.01
59;2;43;Appartement;42.01
115;4;68;Appartement;88.56
118;1;24;Appartement;24.7
296;1;36;Appartement;36.43
252;5;120;Appartement;112.42
120;1;30;Appartement;31.18
189;3;122;Appartement;104.93
95;2;48;Appartement;46.03
39;4;68;Appartement;76.15
325;4;86;Appartement;89.07
218;4;78;Appartement;77.11
189;3;122;Appartement;104.93
88;1;28;Appartement;28.34
92;4;84;Maison;82.41
312;2;60;Appartement;59.27
141;3;66;Appartement;61.06
544;5;154;Appartement;157.49
91;4;68;Appartement;70.42
520;2;36;Maison;54.75
11;3;78;Appartement;69.16
336;1;20;Appartement;17.08
153;2;51;Appartement;50.17
318;2;56;Appartement;59.55
368;4;80;Appartement;80.69
11;3;68;Appartement;66.62
25;3;55;Appartement;57.81
62;2;46;Appartement;45.01
341;1;22;Appartement;23.4
107;2;40;Appartement;40.74
10;4;78;Appartement;73.6
113;4;76;Appartement;77.09
252;1;45;Appartement;43.68
146;1;16;Appartement;13.71
299;2;40;Appartement;41.39
465;2;41;Maison;43.5
29;4;73;Appartement;73.09
153;3;76;Maison;73.67
198;1;20;Appartement;26.5
127;4;95;Maison;102.4
223;1;20;Appartement;20.41
93;1;36;Appartement;35.16
55;3;54;Appartement;55.39
417;3;76;Appartement;76.55
186;2;34;Appartement;34.49
230;2;42;Appartement;42.12
251;2;32;Appartement;29.31
142;4;107;Maison;104.68
252;1;25;Appartement;23.61
279;4;100;Maison;99.54
129;4;83;Maison;84.63
293;4;86;Appartement;86
515;3;80;Appartement;80.62
354;4;78;Appartement;78.41
634;1;27;Appartement;27.01
57;1;41;Appartement;42.23
221;1;24;Appartement;23.13
109;3;42;Appartement;39.45
146;1;22;Appartement;16.41
375;4;63;Appartement;64.04
235;3;74;Appartement;73.61
77;4;95;Appartement;95.07
586;1;19;Appartement;19.51
91;1;37;Appartement;36.04
586;2;41;Appartement;42.07
19;3;48;Appartement;150
512;4;78;Appartement;75.37
304;1;36;Appartement;58.1
312;3;76;Appartement;75.41
120;3;70;Appartement;60.26
652;3;38;Appartement;38.7
176;2;26;Appartement;25.68
190;1;19;Appartement;23.11
52;2;44;Appartement;44.29
182;2;23;Appartement;22.96
360;2;42;Appartement;36.73
153;3;80;Appartement;80.13
45;3;75;Appartement;75.71
375;3;53;Appartement;54.44
487;1;22;Appartement;23.32
491;2;52;Appartement;54.27
352;1;17;Appartement;25.13
310;1;27;Appartement;24.16
360;2;51;Appartement;51.18
204;2;41;Appartement;41.09
399;4;95;Appartement;95.69
399;2;59;Appartement;57.92
204;1;31;Appartement;31.03
317;1;21;Appartement;22.01
102;5;176;Appartement;171.05
146;1;20;Appartement;18.29
22;2;36;Appartement;35.3
137;3;72;Appartement;72.05
76;2;47;Appartement;47.59
49;3;58;Appartement;60.79
63;3;82;Appartement;82.52
375;3;53;Appartement;52.19
285;2;40;Appartement;38.46
315;1;32;Appartement;32.2
38;2;52;Appartement;49.04
164;3;69;Appartement;71.59
296;2;57;Appartement;55.1
366;1;57;Appartement;54.06
439;1;25;Appartement;26.14
66;1;24;Appartement;22.49
19;2;46;Appartement;46.48
274;4;80;Appartement;80.18
119;3;54;Appartement;54.09
375;5;74;Appartement;74.96
100;4;87;Maison;93.3
362;2;49;Appartement;49.76
365;1;20;Appartement;20.5
416;2;49;Appartement;49.41
131;3;77;Appartement;79.8
268;3;67;Appartement;68.95
